id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit
,,6000,6000,6000, 36 months,10.49%,194.99,B,B3,Assistant manager,10+ years,MORTGAGE,120000,Not Verified,Dec-14,Fully Paid,n,,,home_improvement,Home improvement,403xx,KY,6.87,3,Jul-89,0,9,,11,0,49626,82.60%,48,f,0,0,6839.302523,6839.3,6000,839.3,0,0,0,Apr-17,578.3,,Apr-21,0,,1,Individual,,,,0,0,361379,,,,,,,,,,,,60100,,,,5,40153,1092,95.4,0,0,129,305,15,14,5,15,12,2,12,0,4,8,4,9,25,10,18,8,11,0,0,0,0,93.6,100,0,0,376700,49626,23600,0
,,18000,18000,18000, 36 months,11.99%,597.78,B,B5,Education Advising Manager,8 years,OWN,70000,Not Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,333xx,FL,9.11,0,Jun-01,0,57,,6,0,16644,52.30%,13,f,0,0,21420.64432,21420.64,18000,3420.64,0,0,0,Nov-17,1273.88,,Nov-17,0,,1,Individual,,,,0,0,111500,,,,,,,,,,,,31800,,,,2,18583,15156,52.3,0,0,,162,8,8,3,8,,13,57,0,4,4,4,6,0,4,9,4,6,0,0,0,1,92.3,25,0,0,143527,23192,31800,0
,,28000,28000,28000, 60 months,10.49%,601.7,B,B3,Humana Cares Manager,2 years,MORTGAGE,67000,Source Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,336xx,FL,16.13,0,Aug-94,1,35,,15,0,14684,35.20%,39,w,0,0,30628.65,30628.65,28000,2628.65,0,0,0,Dec-15,24652.44,,Oct-17,0,,1,Individual,,,,0,0,239362,,,,,,,,,,,,41700,,,,5,21760,17016,46.3,0,0,181,244,1,1,2,1,,1,,0,4,4,8,12,6,12,31,4,15,0,0,0,1,97.4,14.3,0,0,283223,33666,31700,28532
,,15000,15000,15000, 60 months,20.99%,405.72,E,E4,Appraiser,3 years,MORTGAGE,48000,Source Verified,Dec-14,Fully Paid,n,,,other,Other,770xx,TX,17.53,0,Nov-05,0,,,8,0,12486,57.50%,13,f,0,0,23833.61388,23833.61,15000,8833.61,0,0,0,Oct-19,251.3,,Jul-20,0,,1,Individual,,,,0,0,118238,,,,,,,,,,,,21700,,,,7,14780,7602,25.5,0,0,44,109,12,3,1,20,,15,,0,3,5,3,6,4,5,8,5,8,0,0,0,2,100,66.7,0,0,144726,21212,10200,14857
,,7200,7200,7200, 36 months,12.39%,240.49,C,C1,Director of Operations,5 years,MORTGAGE,84000,Source Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,760xx,TX,18.79,0,Jun-06,1,,,11,0,5105,18.80%,17,f,0,0,8645.094132,8645.09,7200,1445.09,0,0,0,Jan-18,240.33,,Jul-21,0,,1,Individual,,,,0,3948,157993,,,,,,,,,,,,27200,,,,6,15799,15435,22,0,0,76,102,10,5,1,10,,5,,0,1,2,5,5,8,7,8,2,11,0,0,0,3,100,25,0,0,196536,64952,19800,67220
,,18450,18450,18450, 36 months,14.31%,633.36,C,C4,construction foreman,10+ years,MORTGAGE,108000,Not Verified,Dec-14,Charged Off,n,,,home_improvement,Home improvement,810xx,CO,23.37,0,Mar-03,3,,,11,0,5925,87%,20,f,0,0,9387.62,9387.62,5481.7,2084.22,0,1821.7,327.906,Feb-16,633.36,,Oct-16,0,43,1,Individual,,,,0,0,237795,,,,,,,,,,,,6800,,,,8,23779,1267,93,0,0,141,100,12,6,2,17,57,5,57,1,3,6,3,5,8,6,9,5,10,,0,0,3,85,66.7,0,0,256151,113801,3800,119491
,,13550,13550,13550, 60 months,19.99%,358.92,E,E3,nurse,5 years,OWN,40000,Source Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,304xx,GA,16.23,0,Jul-07,0,,,8,0,2492,51.90%,20,f,0,0,21497.24785,21497.25,13550,7947.25,0,0,0,Dec-19,358.59,,Nov-19,0,,1,Individual,,,,0,0,18480,,,,,,,,,,,,4800,,,,4,2310,29,98.6,0,0,89,52,1,1,0,49,,,,0,1,4,1,3,14,4,6,4,8,0,0,0,4,100,100,0,0,26813,18480,2100,22013
,,14000,14000,14000, 36 months,10.49%,454.97,B,B3,first grade teacher,10+ years,OWN,42000,Source Verified,Dec-14,Fully Paid,n,,,credit_card,Credit card refinancing,754xx,TX,35.68,0,Nov-99,0,,,13,0,23135,50.70%,21,f,0,0,16358.44413,16358.44,14000,2358.44,0,0,0,Jan-18,454.89,,Dec-17,0,,1,Individual,,,,0,0,49685,,,,,,,,,,,,45600,,,,3,3822,9800,66.1,0,0,79,181,13,13,0,35,,18,,0,6,8,6,9,4,11,16,8,13,0,0,0,0,100,50,0,0,87904,49685,28900,42304
,,1000,1000,1000, 36 months,12.39%,33.41,C,C1,Attorney,3 years,OWN,60000,Source Verified,Dec-14,Fully Paid,n,,,other,Other,567xx,MN,18.38,0,Jan-02,1,,,17,0,9566,55%,29,f,0,0,1139.77,1139.77,1000,139.77,0,0,0,Jul-16,347.83,,Jul-16,0,,1,Individual,,,,0,0,296389,,,,,,,,,,,,17400,,,,4,21171,112,98,0,0,131,155,5,5,1,102,,5,,0,1,5,1,3,15,8,13,5,17,0,0,0,3,100,100,0,0,323433,151547,5500,154033
,,5000,5000,5000, 36 months,10.49%,162.49,B,B3,Teacher,4 years,MORTGAGE,52000,Source Verified,Dec-14,Charged Off,n,,,debt_consolidation,Debt consolidation,853xx,AZ,14.35,0,Jul-01,2,,69,9,1,466,8.80%,39,f,0,0,4903.83,4903.83,3156.58,744.25,0,1003,180.54,Jan-17,162.49,,Aug-18,0,,1,Individual,,,,0,841,103332,,,,,,,,,,,,5300,,,,5,11481,,,0,0,137,161,1,1,4,,,4,,0,0,2,0,4,14,4,20,2,9,0,0,0,2,100,,1,0,118035,103332,0,112735
,,2000,2000,2000, 36 months,12.99%,67.38,C,C2,,n/a,RENT,21312,Verified,Dec-14,Fully Paid,n,,,medical,Medical expenses,463xx,IN,5.46,0,Nov-98,1,,,14,0,744,1.90%,20,w,0,0,2059.85,2059.85,2000,59.85,0,0,0,Apr-15,1928.7,,Jan-17,0,,1,Individual,,,,0,944,744,,,,,,,,,,,,39600,,,,3,57,31122,1.8,0,0,39,150,18,18,1,27,,0,,0,3,4,10,12,2,14,17,4,14,0,0,0,0,100,0,0,0,39600,744,31700,0
,,2000,2000,2000, 36 months,14.31%,68.66,C,C4,Sales Rep,2 years,RENT,52000,Not Verified,Dec-14,Fully Paid,n,,,other,Other,329xx,FL,5.98,0,Feb-10,1,,,3,0,2227,74.20%,8,f,0,0,2465.422148,2465.42,2000,465.42,0,0,0,Oct-17,123.62,,Nov-17,0,,1,Individual,,,,0,0,3943,,,,,,,,,,,,3000,,,,3,1314,346,65.4,0,0,55,58,3,3,0,18,,6,,0,1,2,1,1,5,2,3,2,3,0,0,0,1,100,0,0,0,6900,3943,1000,3900
,,4000,4000,4000, 36 months,15.99%,140.61,D,D2,Accounting clerk,9 years,RENT,50000,Not Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,114xx,NY,33.99,0,Mar-02,1,49,,12,0,5697,65.50%,23,f,0,0,4972.664795,4972.66,4000,957.66,15,0,0,Feb-17,1606.9,,Dec-21,0,49,1,Individual,,,,0,0,36589,,,,,,,,,,,,8700,,,,7,3049,321,93,0,0,92,153,12,6,0,33,49,3,49,1,3,5,3,5,12,8,10,5,12,0,0,0,3,91.3,100,0,0,62433,36589,4600,48555
,,6000,6000,6000, 36 months,14.99%,207.97,C,C5,office manager,1 year,RENT,20000,Not Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,960xx,CA,14.99,0,Aug-02,1,59,,11,0,6941,67.40%,25,f,0,0,6849.32,6849.32,6000,849.32,0,0,0,Mar-16,2658.2,,Feb-16,0,59,1,Individual,,,,0,0,6941,,,,,,,,,,,,10300,,,,6,992,452,92.5,0,0,108,148,4,4,0,4,,4,59,1,5,6,6,8,2,11,23,6,11,0,0,0,2,96,100,0,0,10300,6941,6000,0
,,10800,10800,10800, 36 months,9.49%,345.91,B,B2,Asset Protection,8 years,MORTGAGE,42000,Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,467xx,IN,18.89,0,Apr-07,1,,,19,0,10213,77.40%,30,f,0,0,12379.60622,12379.61,10800,1579.61,0,0,0,Jun-17,2708.37,,Jun-17,0,,1,Individual,,,,0,0,125993,,,,,,,,,,,,13200,,,,10,6631,1049,89.2,0,0,92,90,30,1,3,30,,0,,0,4,6,4,4,18,7,9,6,19,0,0,0,6,100,75,0,0,133940,57771,9700,47457
,,1000,1000,1000, 36 months,11.99%,33.21,B,B5,machinist,10+ years,MORTGAGE,45000,Not Verified,Dec-14,Fully Paid,n,,,other,Other,452xx,OH,29.55,0,Jan-98,1,,,14,0,43582,51.30%,22,f,0,0,1194.539921,1194.54,1000,194.54,0,0,0,Jan-18,33.19,,Dec-17,0,,1,Individual,,,,0,0,97410,,,,,,,,,,,,85000,,,,4,6958,22878,58.4,0,0,152,203,3,3,3,6,,6,,0,6,11,6,9,4,11,15,11,14,0,0,0,3,100,50,0,0,164361,51350,55000,14861
,,32800,32800,32800, 60 months,12.39%,736.1,C,C1,"Manager, Information Technology",10+ years,OWN,133995,Verified,Dec-14,Fully Paid,n,,,credit_card,Credit card refinancing,600xx,IL,9.21,0,Jul-89,1,,,10,0,28439,70.70%,30,w,0,0,44144.39564,44144.4,32800,11344.4,0,0,0,Feb-20,0.38,,Oct-21,0,,1,Individual,,,,0,400,217506,,,,,,,,,,,,40200,,,,2,24167,6489,79,0,0,139,305,23,23,6,23,,0,,0,5,8,5,7,6,9,18,8,10,0,0,0,0,100,40,0,0,236000,28439,30900,0
,,11000,11000,11000, 36 months,12.99%,370.59,C,C2,E-6/Technical Sergeant,10+ years,MORTGAGE,60000,Not Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,395xx,MS,34.1,2,Sep-00,0,1,,11,0,9704,51.90%,24,f,0,0,13332.72929,13332.73,11000,2332.73,0,0,0,Feb-18,2.35,,Aug-18,0,1,1,Individual,,,,1,0,253854,,,,,,,,,,,,18700,,,,3,25385,8471,51,1,0,171,126,18,12,2,18,1,22,1,1,1,2,2,5,15,4,7,2,11,0,0,1,1,87.5,50,0,0,320015,45933,17300,80336
,,5000,5000,5000, 36 months,12.99%,168.45,C,C2,engineer,10+ years,RENT,95000,Source Verified,Dec-14,Fully Paid,n,,,house,Home buying,130xx,NY,20.21,0,Mar-99,0,35,,7,0,12083,92.90%,24,f,0,0,6041.234901,6041.23,5000,1041.23,0,0,0,Sep-17,824.69,,Oct-21,0,,1,Individual,,,,0,0,46563,,,,,,,,,,,,13000,,,,2,6652,914,92.7,0,0,133,189,51,1,1,74,35,,35,0,3,4,3,8,12,4,11,4,7,0,0,0,2,95.8,100,0,0,59173,46563,12500,46173
,,10000,10000,10000, 36 months,14.99%,346.61,C,C5,Financial Institution Specialist,5 years,MORTGAGE,75000,Verified,Dec-14,Fully Paid,n,,,credit_card,Credit card refinancing,402xx,KY,19.33,0,Oct-93,4,,,14,0,27644,88%,59,f,0,0,11434,11434,10000,1434,0,0,0,Feb-16,7287.17,,Nov-20,0,,1,Individual,,,,0,0,255284,,,,,,,,,,,,31400,,,,5,18235,1906,92.8,0,0,152,254,3,3,3,3,,1,,0,6,8,7,10,37,10,18,8,14,0,0,0,5,100,85.7,0,0,266634,163130,26400,136117
,,5000,5000,5000, 36 months,13.66%,170.07,C,C3,Accouting Manager,10+ years,RENT,54797,Source Verified,Dec-14,Fully Paid,n,,,moving,Moving and relocation,925xx,CA,11.05,0,Mar-04,0,30,70,7,1,3605,48.10%,22,f,0,0,6119.05039,6119.05,5000,1119.05,0,0,0,Jan-18,169.8,,Dec-17,0,30,1,Individual,,,,0,0,3605,,,,,,,,,,,,7500,,,,6,515,2169,52.8,0,0,118,129,10,9,3,10,69,9,69,6,3,5,3,6,6,7,13,5,7,0,0,0,2,76.2,33.3,0,0,7500,3605,4600,0
,,6825,6825,6825, 36 months,15.99%,239.92,D,D2,Graduate Teaching Assistant,1 year,RENT,19000,Not Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,328xx,FL,26.06,0,Mar-11,0,,,7,0,5514,26.30%,9,f,0,0,6881.32,6881.32,6825,56.32,0,0,0,Jan-15,6890.41,,Jun-16,0,,1,Individual,,,,0,0,15894,,,,,,,,,,,,21000,,,,3,2271,13074,27.4,0,0,4,45,9,4,0,9,,4,,0,2,3,4,5,1,6,8,3,7,0,0,0,2,100,0,0,0,41128,15894,18000,20128
,,8750,8750,8750, 36 months,21.99%,334.13,E,E5,Weather forecaster,8 years,MORTGAGE,81200,Verified,Dec-14,Fully Paid,n,,,moving,Moving and relocation,967xx,HI,29.38,0,Oct-01,2,,,12,0,31362,75.90%,37,f,0,0,11248.68955,11248.69,8750,2498.69,0,0,0,Mar-17,852.79,,Aug-18,0,,1,Individual,,,,0,0,625455,,,,,,,,,,,,41300,,,,10,52121,4190,87.7,0,0,132,158,3,2,5,5,,3,,0,4,6,5,12,12,8,20,6,12,0,0,0,8,100,80,0,0,659564,90287,34000,61464
,,14000,14000,14000, 60 months,9.49%,293.96,B,B2,Associate Director Flight Operations,10+ years,OWN,157000,Not Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,770xx,TX,21.73,0,Jan-81,0,,,8,0,49513,59.80%,11,w,0,0,16766.43363,16766.43,14000,2766.43,0,0,0,Oct-17,2370.78,,Sep-17,0,,1,Individual,,,,0,0,101094,,,,,,,,,,,,82800,,,,2,12637,31116,58.1,0,0,142,300,22,12,1,48,,,,0,3,5,3,3,3,5,6,5,8,0,0,0,1,100,33.3,0,0,167981,101094,74300,76085
,,24000,24000,24000, 60 months,13.66%,554.22,C,C3,Accountant,8 years,RENT,60000,Source Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,117xx,NY,33.62,0,Dec-95,2,,,27,0,21396,53%,59,w,0,0,31703.72064,31703.72,24000,7703.72,0,0,0,Feb-18,11224.46,,Feb-18,0,,1,Individual,,,,0,0,86634,,,,,,,,,,,,40400,,,,7,3209,6422,68.4,0,0,178,228,3,3,0,3,,0,,0,7,10,10,15,29,18,30,10,27,0,0,0,4,100,60,0,0,114353,86634,20300,73953
